Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jarell Eddie,eddieja01,2017,NBA,25,PHO,SF,5,0,62,3.5,11.0,0.316,2.3,9.3,0.250,1.2,1.7,0.667,0.421,4.6,5.2,0.889,0.6,3.5,4.1,0.0,0.6,0.0,0.6,0.6,13.9
No,Henry Ellenson,ellenhe01,2017,NBA,20,DET,PF,19,2,146,5.7,15.8,0.359,2.5,8.6,0.286,3.2,7.2,0.448,0.438,1.0,2.0,0.500,2.0,8.1,10.1,1.7,0.2,0.2,3.5,1.5,14.8
No,Wayne Ellington,ellinwa01,2017,NBA,29,MIA,SG,62,13,1500,5.5,13.3,0.416,3.6,9.5,0.378,2.0,3.9,0.509,0.550,0.9,1.0,0.860,0.4,2.7,3.2,1.7,0.8,0.1,0.7,1.7,15.6
No,Monta Ellis,ellismo01,2017,NBA,31,IND,SG,74,33,1998,4.5,10.0,0.443,0.8,2.4,0.319,3.7,7.6,0.483,0.482,1.7,2.3,0.727,0.3,3.3,3.7,4.3,1.4,0.5,2.4,2.7,11.4
No,Joel Embiid,embiijo01,2017,NBA,22,PHI,C,31,31,786,9.2,19.6,0.466,1.6,4.5,0.367,7.5,15.2,0.495,0.508,8.7,11.2,0.783,2.8,8.3,11.1,3.0,1.2,3.5,5.4,5.1,28.7
No,James Ennis III,ennisja01,2017,NBA,26,MEM,SF,64,28,1501,3.5,7.7,0.455,1.2,3.3,0.372,2.3,4.4,0.516,0.534,2.1,2.6,0.782,1.7,4.6,6.2,1.5,1.1,0.5,1.4,4.0,10.3
No,Tyler Ennis,ennisty01,2017,NBA,22,2TM,PG,53,2,588,5.5,12.7,0.433,1.7,4.3,0.386,3.9,8.4,0.457,0.498,1.3,1.5,0.840,0.6,2.2,2.8,5.3,1.5,0.1,2.8,3.6,14.0
No,Tyler Ennis,ennisty01,2017,NBA,22,HOU,PG,31,0,196,4.6,11.8,0.391,1.1,2.9,0.375,3.5,8.8,0.396,0.438,0.4,0.6,0.667,0.7,2.8,3.5,6.2,1.1,0.0,4.4,5.3,10.7
No,Tyler Ennis,ennisty01,2017,NBA,22,LAL,PG,22,2,392,6.0,13.2,0.451,1.9,5.0,0.389,4.0,8.3,0.489,0.524,1.7,2.0,0.864,0.5,1.9,2.4,4.8,1.7,0.2,1.9,2.7,15.6
No,Tyreke Evans,evansty01,2017,NBA,27,2TM,SF,40,6,788,6.9,16.9,0.405,1.9,5.4,0.356,4.9,11.5,0.429,0.462,3.2,4.2,0.750,0.6,5.7,6.3,5.7,1.6,0.4,2.8,2.7,18.8
